forcing creation of server ID: 46
[07-02-2017 19:33:08.563168][ startup] CONSTRUCTED SERVER
[07-02-2017 19:33:08.569548][ startup] MAIN LOOP START
[07-02-2017 19:33:08.569655][ startup] SENDER START
[07-02-2017 19:33:08.569768][ startup] RECEIVER START
[07-02-2017 19:33:08.569832][ startup] HANDLE RECEIVE START
[07-02-2017 19:33:15.176212][    info] CLIENT CONNECTED: 74
[07-02-2017 19:33:31.816875][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.841618][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.841692][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.864054][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.864164][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.887055][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.887151][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.910397][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.910465][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.933858][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.933960][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.956690][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.956765][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.979073][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.979145][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.002805][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.002953][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.025064][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:32.025136][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:32.046033][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
