forcing creation of server ID: 45
[06-25-2017 13:11:51.702041][ startup] CONSTRUCTED SERVER
[06-25-2017 13:11:51.702503][ startup] SENDER START
[06-25-2017 13:11:51.702522][ startup] MAIN LOOP START
[06-25-2017 13:11:51.702522][ startup] RECEIVER START
[06-25-2017 13:11:51.702559][ startup] HANDLE RECEIVE START
[06-25-2017 13:11:58.215015][    info] CLIENT CONNECTED: 60
[06-25-2017 13:19:30.746567][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.746655][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.768527][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.768618][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.792254][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.792343][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.816385][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.816467][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.840315][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.840384][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.863304][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.863379][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.886318][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.886406][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.908522][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.908631][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.931533][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.931624][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.956407][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.956479][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.978356][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:30.978429][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.003917][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
[06-25-2017 13:19:31.004005][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:31.029028][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.45 8930
