forcing creation of server ID: 47
[06-25-2017 13:11:51.700655][ startup] CONSTRUCTED SERVER
[06-25-2017 13:11:51.701482][ startup] MAIN LOOP START
[06-25-2017 13:11:51.701566][ startup] SENDER START
[06-25-2017 13:11:51.701710][ startup] HANDLE RECEIVE START
[06-25-2017 13:11:51.701810][ startup] RECEIVER START
[06-25-2017 13:11:58.215289][    info] CLIENT CONNECTED: 60
[06-25-2017 13:19:30.701776][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.701843][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.722834][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.722899][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.746234][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.746329][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.768224][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.768332][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.791872][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.791965][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.816080][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.816171][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.839988][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.840069][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.863003][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.863096][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.886018][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.886107][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.908257][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.908324][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.931213][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.931310][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.956111][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.956205][   error] COULDN'T FIND BUFFER targetlocation
