forcing creation of server ID: 44
[06-25-2017 13:11:51.701700][ startup] CONSTRUCTED SERVER
[06-25-2017 13:11:51.702291][ startup] SENDER START
[06-25-2017 13:11:51.702339][ startup] HANDLE RECEIVE START
[06-25-2017 13:11:51.702323][ startup] RECEIVER START
[06-25-2017 13:11:51.702371][ startup] MAIN LOOP START
[06-25-2017 13:11:58.215463][    info] CLIENT CONNECTED: 60
[06-25-2017 13:19:30.768112][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.768209][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.791739][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.791831][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.815971][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.816067][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.839878][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.839977][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.862888][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.862986][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.885883][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.885972][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.908152][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.908234][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.931097][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.931193][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.956014][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.956115][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.977984][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.978062][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.003492][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.003591][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.028500][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.028603][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.052342][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.052438][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.077652][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.077761][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.103451][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.103547][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.126833][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.126944][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.152417][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.152563][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.176911][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.177012][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.201840][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.201962][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.224073][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.224170][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.248850][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.248944][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.274635][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.274736][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:31.300035][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:31.300133][   error] COULDN'T FIND BUFFER kill
